diputado;partido;provincia;n_legislatura
Rafael Ferraro Sebastiá;PPCV(55 diputados);Valencia;VIII
Eduardo Ovejero Adelantado;PPCV(55 diputados);Valencia;VIII
Esther Mártires Franco Aliaga;PPCV(55 diputados);Valencia;VIII
Luis Miguel Ibáñez Gadea;PPCV(55 diputados);Valencia;VIII
Fernando María Giner Giner;PPCV(55 diputados);Valencia;VIII
Ángel Luna González;PSPV-PSOE(33 diputados);Alicante;VIII
Ana Barceló Chico;PSPV-PSOE(33 diputados);Alicante;VIII
Vicente Arques Cortés;PSPV-PSOE(33 diputados);Alicante;VIII
José Manuel Sánchez Asencio;PSPV-PSOE(33 diputados);Alicante;VIII
María Vicenta Crespo Domínguez;PSPV-PSOE(33 diputados);Alicante;VIII
Ferran Josep Verdú Monllor;PSPV-PSOE(33 diputados);Alicante;VIII
Javier Carlos Macho Lorenzo;PSPV-PSOE(33 diputados);Alicante;VIII
Julián López Milla;PSPV-PSOE(33 diputados);Alicante;VIII
Verónica López Ramón;PSPV-PSOE(33 diputados);Alicante;VIII
María Dolores Huesca Rodríguez;PSPV-PSOE(33 diputados);Alicante;VIII
Antonio Torres Salvador;PSPV-PSOE(33 diputados);Alicante;VIII
Jordi Serra Ferrer;PSPV-PSOE(33 diputados);Alicante;VIII
Francisco Toledo Lobo;PSPV-PSOE(33 diputados);Castellón;VIII
Óscar Tena García;PSPV-PSOE(33 diputados);Castellón;VIII
Clara Tirado Museros;PSPV-PSOE(33 diputados);Castellón;VIII
Juan Ignacio Subías Ruiz de Villa;PSPV-PSOE(33 diputados);Castellón;VIII
Ana María Besalduch Besalduch;PSPV-PSOE(33 diputados);Castellón;VIII
José Benlloch Fernández;PSPV-PSOE(33 diputados);Castellón;VIII
María José Salvador Rubert;PSPV-PSOE(33 diputados);Castellón;VIII
Vicent Esteve Nebot;PSPV-PSOE(33 diputados);Castellón;VIII
Delia Valero Ferri;PSPV-PSOE(33 diputados);Castellón;VIII
Jorge Alarte Gorbe;PSPV-PSOE(33 diputados);Valencia;VIII
Carmen Martínez Ramírez;PSPV-PSOE(33 diputados);Valencia;VIII
Cristina Moreno Fernández;PSPV-PSOE(33 diputados);Valencia;VIII
Carmen Ninet Peña;PSPV-PSOE(33 diputados);Valencia;VIII
Víctor Manuel Sahuquillo Martínez;PSPV-PSOE(33 diputados);Valencia;VIII
Pilar Teresa Sarrión Ponce;PSPV-PSOE(33 diputados);Valencia;VIII
Francesc de Borja Signes Núñez;PSPV-PSOE(33 diputados);Valencia;VIII
Eva Martínez Ruiz;PSPV-PSOE(33 diputados);Valencia;VIII
Rafael Rubio Martínez;PSPV-PSOE(33 diputados);Valencia;VIII
Alfredo Miguel Boix Pastor;PSPV-PSOE(33 diputados);Valencia;VIII
Juan Soto Ramírez;PSPV-PSOE(33 diputados);Valencia;VIII
Josep Lluís Moreno Escrivà;PSPV-PSOE(33 diputados);Valencia;VIII
Mireia Mollà Herrera;Coalició Compromís(6 diputados);Alicante;VIII
Josep Maria Pañella Alcácer;Coalició Compromís(6 diputados);Castellón;VIII
Enric Xavier Morera i Català;Coalició Compromís(6 diputados);Valencia;VIII
Mónica Oltra Jarque;Coalició Compromís(6 diputados);Valencia;VIII
Juan Ignacio Ponce Guardiola;Coalició Compromís(6 diputados);Valencia;VIII
Francesc Xavier Ferri Fayos;Coalició Compromís(6 diputados);Valencia;VIII
Lluís Torró Gil;EUPV(5 diputados);Alicante;VIII
Esther López Barceló;EUPV(5 diputados);Alicante;VIII
Marina Albiol Guzmán;EUPV(5 diputados);Castellón;VIII
Rosario Margarita Sanz Alonso;EUPV(5 diputados);Valencia;VIII
Ignacio Blanco Giner;EUPV(5 diputados);Valencia;VIII
José Ciscar Bolufer;PPCV(31 diputados);Alicante;IX
Eva Ortiz Vilella;PPCV(31 diputados);Alicante;IX
José Juan Zaplana López;PPCV(31 diputados);Alicante;IX
César Sánchez Pérez;PPCV(31 diputados);Alicante;IX
Elisa Díaz González;PPCV(31 diputados);Alicante;IX
Manuel Pérez Fenoll;PPCV(31 diputados);Alicante;IX
María Remedios Yáñez Motos;PPCV(31 diputados);Alicante;IX
José Salas Maldonado;PPCV(31 diputados);Alicante;IX
María Teresa Parra Almiñana;PPCV(31 diputados);Alicante;IX
Antoni Joan Bertomeu Vallés;PPCV(31 diputados);Alicante;IX
Juan de Dios Navarro Caballero;PPCV(31 diputados);Alicante;IX
Isabel Plácida Bonig Trigueros;PPCV(31 diputados);Castellón;IX
Alejandro Font de Mora Turón;PPCV(31 diputados);Castellón;IX
Vicente Casanova Claramonte;PPCV(31 diputados);Castellón;IX
Máximo Hartwig Buch Torralva;PPCV(31 diputados);Castellón;IX
Beatriz Gascó Enríquez;PPCV(31 diputados);Castellón;IX
Rubén Ibáñez Bordonau;PPCV(31 diputados);Castellón;IX
Miguel Ángel Mulet Taló;PPCV(31 diputados);Castellón;IX
Marta Gallén Peris;PPCV(31 diputados);Castellón;IX
Alberto Fabra Part;PPCV(31 diputados);Valencia;IX
María Rita Barberá Nolla;PPCV(31 diputados);Valencia;IX
Juan Carlos Moragues Ferrer;PPCV(31 diputados);Valencia;IX
María José Català Verdet;PPCV(31 diputados);Valencia;IX
Jorge Bellver Casaña;PPCV(31 diputados);Valencia;IX
María José Ferrer San Segundo;PPCV(31 diputados);Valencia;IX
Manuel María Llombart Fuertes;PPCV(31 diputados);Valencia;IX
Alfredo Cesáreo Castelló Sáez;PPCV(31 diputados);Valencia;IX
Verónica Marcos Puig;PPCV(31 diputados);Valencia;IX
Vicente Betoret Coll;PPCV(31 diputados);Valencia;IX
Luis Javier Santamaría Ruiz;PPCV(31 diputados);Valencia;IX
María Bernal Talavera;PPCV(31 diputados);Valencia;IX
Julián López Milla;PSPV-PSOE(23 diputados);Alicante;IX
Noelia Hernández Sánchez;PSPV-PSOE(23 diputados);Alicante;IX
David Cerdán Pastor;PSPV-PSOE(23 diputados);Alicante;IX
Antonio Torres Salvador;PSPV-PSOE(23 diputados);Alicante;IX
Ana Barceló Chico;PSPV-PSOE(23 diputados);Alicante;IX
Manuel Pineda Cuenca;PSPV-PSOE(23 diputados);Alicante;IX
María Sandra Martín Pérez;PSPV-PSOE(23 diputados);Alicante;IX
Vicente Arques Cortés;PSPV-PSOE(23 diputados);Alicante;IX
Antonia Serna Serrano;PSPV-PSOE(23 diputados);Alicante;IX
Joaquim Francesc Puig Ferrer;PSPV-PSOE(23 diputados);Castellón;IX
Eva Alcón Soler;PSPV-PSOE(23 diputados);Castellón;IX
Francesc Colomer Sánchez;PSPV-PSOE(23 diputados);Castellón;IX
Clara Tirado Museros;PSPV-PSOE(23 diputados);Castellón;IX
Enrique Vidal Pérez;PSPV-PSOE(23 diputados);Castellón;IX
María José Salvador Rubert;PSPV-PSOE(23 diputados);Castellón;IX
María José Mira Veintimilla;PSPV-PSOE(23 diputados);Valencia;IX
Fernando González Delgado;PSPV-PSOE(23 diputados);Valencia;IX
Carmen Amoraga Toledo;PSPV-PSOE(23 diputados);Valencia;IX
Manuel Mata Gómez;PSPV-PSOE(23 diputados);Valencia;IX
Rosa Peris Cervera;PSPV-PSOE(23 diputados);Valencia;IX
Alfred Boix Pastor;PSPV-PSOE(23 diputados);Valencia;IX
Carmen Martínez Ramírez;PSPV-PSOE(23 diputados);Valencia;IX
José Muñoz Lladró;PSPV-PSOE(23 diputados);Valencia;IX
Mireia Mollà Herrera;Compromís(19 diputados);Alicante;IX
Rafael Climent González;Compromís(19 diputados);Alicante;IX
José Ramón Nadal Sendra;Compromís(19 diputados);Alicante;IX
Cristina Rodríguez Armigen;Compromís(19 diputados);Alicante;IX
María del Ángel Campello Moreno;Compromís(19 diputados);Alicante;IX
Vicent Marzà Ibáñez;Compromís(19 diputados);Castellón;IX
Mónica Álvaro Cerezo;Compromís(19 diputados);Castellón;IX
Belén Bachero Traver;Compromís(19 diputados);Castellón;IX
Víctor García Tomás;Compromís(19 diputados);Castellón;IX
Mónica Oltra Jarque;Compromís(19 diputados);Valencia;IX
Enric Xavier Morera Català;Compromís(19 diputados);Valencia;IX
Graciela Noemí Ferrer Matvieychuc;Compromís(19 diputados);Valencia;IX
Francesc Xavier Ferri Fayos;Compromís(19 diputados);Valencia;IX
Juan Ignacio Ponce Guardiola;Compromís(19 diputados);Valencia;IX
Maria Josep Ortega Requena;Compromís(19 diputados);Valencia;IX
Isaura Navarro Casillas;Compromís(19 diputados);Valencia;IX
Jordi Joan Huguet;Compromís(19 diputados);Valencia;IX
Teresa García Muñoz;Compromís(19 diputados);Valencia;IX
Francisco Javier García Latorre;Compromís(19 diputados);Valencia;IX
Emigdio Tormo Moratalla;Ciudadanos(13 diputados);Alicante;IX
Emilio Argüeso Torres;Ciudadanos(13 diputados);Alicante;IX
María del Carmen Sánchez Zamora;Ciudadanos(13 diputados);Alicante;IX
Antonio Joaquín Woodward Poch;Ciudadanos(13 diputados);Alicante;IX
Rosa María García González;Ciudadanos(13 diputados);Alicante;IX
Mercedes Ventura Campos;Ciudadanos(13 diputados);Castellón;IX
David de Miguel Martínez;Ciudadanos(13 diputados);Castellón;IX
Alberto García Salvador;Ciudadanos(13 diputados);Castellón;IX
Carolina Clara Punset Bannel;Ciudadanos(13 diputados);Valencia;IX
Alexis Frederic Marí Malonda;Ciudadanos(13 diputados);Valencia;IX
Juan Ginés Córdoba Cortijo;Ciudadanos(13 diputados);Valencia;IX
Antonio Subiela Chico;Ciudadanos(13 diputados);Valencia;IX
María José García Jiménez;Ciudadanos(13 diputados);Valencia;IX
María Luz Quiñonero Hernández;Podem(13 diputados);Alicante;IX
Antonio Estañ García;Podem(13 diputados);Alicante;IX
Beatriz Gascó Verdier;Podem(13 diputados);Alicante;IX
José Francisco Almería Serrano;Podem(13 diputados);Alicante;IX
Covadonga Peremarch Palomares;Podem(13 diputados);Alicante;IX
César Jiménez Doménech;Podem(13 diputados);Castellón;IX
Cristina Cabedo Laborda;Podem(13 diputados);Castellón;IX
Marc Pallarés Piquer;Podem(13 diputados);Castellón;IX
José Antonio Montiel Márquez;Podem(13 diputados);Valencia;IX
Sandra Mínguez Corral;Podem(13 diputados);Valencia;IX
David Torres García;Podem(13 diputados);Valencia;IX
Fabiola Meco Tébar;Podem(13 diputados);Valencia;IX
Daniel Geffner Sclarsky;Podem(13 diputados);Valencia;IX
Ana Barceló Chico;PSPV-PSOE(27 diputados);Alicante;X
José Francisco Chulvi Español;PSPV-PSOE(27 diputados);Alicante;X
Laura Soler Azorín;PSPV-PSOE(27 diputados);Alicante;X
Manuel Pineda Cuenca;PSPV-PSOE(27 diputados);Alicante;X
Antonia Serna Serrano;PSPV-PSOE(27 diputados);Alicante;X
Vicent Arques Cortés;PSPV-PSOE(27 diputados);Alicante;X
María Sandra Martín Pérez;PSPV-PSOE(27 diputados);Alicante;X
Francisco Rubio Delgado;PSPV-PSOE(27 diputados);Alicante;X
Rosa de Falastín Mustafá Ávila;PSPV-PSOE(27 diputados);Alicante;X
Jesús Sellés Quiles;PSPV-PSOE(27 diputados);Alicante;X
Joaquín Francisco Puig Ferrer;PSPV-PSOE(27 diputados);Castellón;X
María José Salvador Rubert;PSPV-PSOE(27 diputados);Castellón;X
Ernest Blanch Marín;PSPV-PSOE(27 diputados);Castellón;X
María Sabina Escrig Monzó;PSPV-PSOE(27 diputados);Castellón;X
Carlos Laguna Asensi;PSPV-PSOE(27 diputados);Castellón;X
Ana María Besalduch Besalduch;PSPV-PSOE(27 diputados);Castellón;X
Francisco Gil García;PSPV-PSOE(27 diputados);Castellón;X
Manuel Mata Gómez;PSPV-PSOE(27 diputados);Valencia;X
Gabriela Bravo Sanestanislao;PSPV-PSOE(27 diputados);Valencia;X
Vicent Soler i Marco;PSPV-PSOE(27 diputados);Valencia;X
Mercedes Caballero Hueso;PSPV-PSOE(27 diputados);Valencia;X
José Muñoz Lladró;PSPV-PSOE(27 diputados);Valencia;X
Carmen Martínez Ramírez;PSPV-PSOE(27 diputados);Valencia;X
Alfred Boix Pastor;PSPV-PSOE(27 diputados);Valencia;X
Concepción Andrés Sanchís;PSPV-PSOE(27 diputados);Valencia;X
David Calvo Alfonso;PSPV-PSOE(27 diputados);Valencia;X
Rosa María Peris Cervera;PSPV-PSOE(27 diputados);Valencia;X
José Císcar Bolufer;PPCV(19 diputados);Alicante;X
Eva Ortiz Vilella;PPCV(19 diputados);Alicante;X
Adrián Ballester Espinosa;PPCV(19 diputados);Alicante;X
Elisa Díaz González;PPCV(19 diputados);Alicante;X
José Juan Zaplana López;PPCV(19 diputados);Alicante;X
José Antonio Rovira Jover;PPCV(19 diputados);Alicante;X
Manuel Pérez Fenoll;PPCV(19 diputados);Alicante;X
Miguel Barrachina Ros;PPCV(19 diputados);Castellón;X
Luis Martínez Fuentes;PPCV(19 diputados);Castellón;X
Rubén Ibáñez Bordonau;PPCV(19 diputados);Castellón;X
Beatriz Gascó Enríquez;PPCV(19 diputados);Castellón;X
María Luisa Mezquita Juan;PPCV(19 diputados);Castellón;X
Isabel Plácida Bonig Trigueros;PPCV(19 diputados);Valencia;X
Elena María Bastidas Bono;PPCV(19 diputados);Valencia;X
Felipe Javier Carrasco Torres;PPCV(19 diputados);Valencia;X
Jorge Bellver Casaña;PPCV(19 diputados);Valencia;X
Alfredo Cesáreo Castelló Sáez;PPCV(19 diputados);Valencia;X
María José Català Verdet;PPCV(19 diputados);Valencia;X
Juan Carlos Caballero Montañés;PPCV(19 diputados);Valencia;X
María Quiles Bailén;Ciudadanos(18 diputados);Alicante;X
Yaneth Lucía Giraldo Jiménez;Ciudadanos(18 diputados);Alicante;X
Emigdio Tormo Moratalla;Ciudadanos(18 diputados);Alicante;X
José Antonio Martínez Ortega;Ciudadanos(18 diputados);Alicante;X
Fernando Enrique Llopis Pascual;Ciudadanos(18 diputados);Alicante;X
Antonio Joaquín Woodward Poch;Ciudadanos(18 diputados);Alicante;X
Rosa María Menor Lucas;Ciudadanos(18 diputados);Alicante;X
Mercedes Ventura Campos;Ciudadanos(18 diputados);Castellón;X
Cristina Gabarda Ortín;Ciudadanos(18 diputados);Castellón;X
Eduardo del Pozo Querol;Ciudadanos(18 diputados);Castellón;X
Vicente Fernández García;Ciudadanos(18 diputados);Castellón;X
Antonio Cantó García del Moral;Ciudadanos(18 diputados);Valencia;X
Ruth María Merino Peña;Ciudadanos(18 diputados);Valencia;X
María del Carmen Peris Navarro;Ciudadanos(18 diputados);Valencia;X
Carlos Pablo Gracia Calandín;Ciudadanos(18 diputados);Valencia;X
Jesús Salmerón Berga;Ciudadanos(18 diputados);Valencia;X
Patricia García Guasp;Ciudadanos(18 diputados);Valencia;X
Luis Arquillos Cruz;Ciudadanos(18 diputados);Valencia;X
Aitana Joana Mas Mas;Compromís(17 diputados);Alicante;X
Rafael Climent González;Compromís(17 diputados);Alicante;X
José Ramón Nadal Sendra;Compromís(17 diputados);Alicante;X
Cristina Rodríguez Armigen;Compromís(17 diputados);Alicante;X
Vicent Marzà Ibáñez;Compromís(17 diputados);Castellón;X
Mònica Álvaro Cerezo;Compromís(17 diputados);Castellón;X
Belén Bachero Traver;Compromís(17 diputados);Castellón;X
José Silverio Tena Sánchez;Compromís(17 diputados);Castellón;X
Mónica Oltra Jarque;Compromís(17 diputados);Valencia;X
Francesc Xavier Ferri Fayos;Compromís(17 diputados);Valencia;X
Graciela Noemí Ferrer Matvieychuc;Compromís(17 diputados);Valencia;X
Enric Xavier Morera i Català;Compromís(17 diputados);Valencia;X
Juan Ignacio Ponce Guardiola;Compromís(17 diputados);Valencia;X
Carmen Luisa Robles Galindo;Compromís(17 diputados);Valencia;X
Carlos Esteve Aparicio;Compromís(17 diputados);Valencia;X
Nathalie Torres García;Compromís(17 diputados);Valencia;X
Jesús Pla Herrero;Compromís(17 diputados);Valencia;X
Ana Vega Campos;Vox(10 diputados);Alicante;X
David García Gomis;Vox(10 diputados);Alicante;X
Miguel Pascual Pérez;Vox(10 diputados);Alicante;X
Ana María Cerdán Martínez;Vox(10 diputados);Alicante;X
María de los Llanos Massó Linares;Vox(10 diputados);Castellón;X
David Muñoz Pérez;Vox(10 diputados);Castellón;X
José María Llanos Pitarch;Vox(10 diputados);Valencia;X
Ángeles Criado Gonzálbez;Vox(10 diputados);Valencia;X
Vicente Manuel Roglá Benedito;Vox(10 diputados);Valencia;X
José Luis Aguirre Larrauri;Vox(10 diputados);Valencia;X
Rubén Martínez Dalmau;Unides Podem(8 diputados);Alicante;X
Beatriz Gascó Verdier;Unides Podem(8 diputados);Alicante;X
Estefanía de los Reyes Blanes León;Unides Podem(8 diputados);Alicante;X
Irene Rosario Gómez Santos;Unides Podem(8 diputados);Castellón;X
Cristina Cabedo Laborda;Unides Podem(8 diputados);Castellón;X
María Pilar Lima Gozálvez;Unides Podem(8 diputados);Valencia;X
Rosa María Pérez Garijo;Unides Podem(8 diputados);Valencia;X
Ferrán Martínez Ruiz;Unides Podem(8 diputados);Valencia;X
Carlos Arturo Mazón Guixot;PPCV(40 diputados);Alicante;XI
María Gómez García;PPCV(40 diputados);Alicante;XI
Juan Francisco Pérez Llorca;PPCV(40 diputados);Alicante;XI
Lucía Peral Mateos;PPCV(40 diputados);Alicante;XI
José Antonio Rovira Jover;PPCV(40 diputados);Alicante;XI
Julia Parra Aparicio;PPCV(40 diputados);Alicante;XI
Eduardo Jorge Dolón Sánchez;PPCV(40 diputados);Alicante;XI
María del Rosario Escrig Llinares;PPCV(40 diputados);Alicante;XI
José Ramón González de Zarate Unamuno;PPCV(40 diputados);Alicante;XI
José Juan Zaplana López;PPCV(40 diputados);Alicante;XI
Francisco Javier Sendra Mengual;PPCV(40 diputados);Alicante;XI
Eva Ortiz Vilella;PPCV(40 diputados);Alicante;XI
Fernando Pastor Llorens;PPCV(40 diputados);Alicante;XI
María Luisa Gayo Madera;PPCV(40 diputados);Alicante;XI
Noelia Císcar Martínez;PPCV(40 diputados);Alicante;XI
Alberto Fabra Part;PPCV(40 diputados);Castellón;XI
Marta Barrachina Mateu;PPCV(40 diputados);Castellón;XI
Miguel Barrachina Ros;PPCV(40 diputados);Castellón;XI
Salomé Pradas Ten;PPCV(40 diputados);Castellón;XI
Rubén Ibáñez Bordonau;PPCV(40 diputados);Castellón;XI
Susana Fabregat Carrasquer;PPCV(40 diputados);Castellón;XI
Salvador Aguilella Ramos;PPCV(40 diputados);Castellón;XI
Beatriz Gascó Enríquez;PPCV(40 diputados);Castellón;XI
Adoración Llop Montón;PPCV(40 diputados);Castellón;XI
Wenceslao Alós Valls;PPCV(40 diputados);Castellón;XI
María José Català Verdet;PPCV(40 diputados);Valencia;XI
Vicente José Mompó Aledo;PPCV(40 diputados);Valencia;XI
Pablo G. Broseta Dupre;PPCV(40 diputados);Valencia;XI
Elena María Bastidas Bono;PPCV(40 diputados);Valencia;XI
Víctor Soler Beneyto;PPCV(40 diputados);Valencia;XI
Francisca Bartual Bermell;PPCV(40 diputados);Valencia;XI
Ruth María Merino Peña;PPCV(40 diputados);Valencia;XI
Alfredo Cesáreo Castelló Sáez;PPCV(40 diputados);Valencia;XI
María Dolores Roch Cazorla;PPCV(40 diputados);Valencia;XI
Ernesto Fernández Pardo;PPCV(40 diputados);Valencia;XI
Magdalena María González la Red;PPCV(40 diputados);Valencia;XI
Laura Chulià Serra;PPCV(40 diputados);Valencia;XI
Vicente Betoret Coll;PPCV(40 diputados);Valencia;XI
Verónica Marcos Puig;PPCV(40 diputados);Valencia;XI
Felipe Javier Carrasco Torres;PPCV(40 diputados);Valencia;XI
Josefina Bueno Alonso;PSPV-PSOE(31 diputados);Alicante;XI
Laura Soler Azorín;PSPV-PSOE(31 diputados);Alicante;XI
Yaissel Sánchez Orta;PSPV-PSOE(31 diputados);Alicante;XI
David Bernardo López Lluch;PSPV-PSOE(31 diputados);Alicante;XI
Mario Villar García;PSPV-PSOE(31 diputados);Alicante;XI
Charo Navalón García;PSPV-PSOE(31 diputados);Alicante;XI
Mayte García Madrid;PSPV-PSOE(31 diputados);Alicante;XI
José Chulvi Español;PSPV-PSOE(31 diputados);Alicante;XI
Ramón Abad Soler;PSPV-PSOE(31 diputados);Alicante;XI
Marisa Navarro Forcada;PSPV-PSOE(31 diputados);Alicante;XI
Nuria Pina Huertas;PSPV-PSOE(31 diputados);Alicante;XI
Rafael Simó Sancho;PSPV-PSOE(31 diputados);Castellón;XI
María José Salvador Rubert;PSPV-PSOE(31 diputados);Castellón;XI
Silvia Gómez Rey;PSPV-PSOE(31 diputados);Castellón;XI
José Luis Lorenz Andrés;PSPV-PSOE(31 diputados);Castellón;XI
Ana María Besalduch Besalduch;PSPV-PSOE(31 diputados);Castellón;XI
Rocío Ibáñez Candelera;PSPV-PSOE(31 diputados);Castellón;XI
Ernest Blanch Marín;PSPV-PSOE(31 diputados);Castellón;XI
Carlos Laguna Asensi;PSPV-PSOE(31 diputados);Castellón;XI
Joaquim Francesc Puig Ferrer;PSPV-PSOE(31 diputados);Valencia;XI
Rebeca Torró Soler;PSPV-PSOE(31 diputados);Valencia;XI
Arcadi España García;PSPV-PSOE(31 diputados);Valencia;XI
Gabriela Bravo Sanestanislao;PSPV-PSOE(31 diputados);Valencia;XI
Miguel Mínguez Pérez;PSPV-PSOE(31 diputados);Valencia;XI
Cristina Martínez García;PSPV-PSOE(31 diputados);Valencia;XI
Toni Gaspar Ramos;PSPV-PSOE(31 diputados);Valencia;XI
Carmen Martínez Ramírez;PSPV-PSOE(31 diputados);Valencia;XI
José Muñoz Lladró;PSPV-PSOE(31 diputados);Valencia;XI
Mercedes Caballero Hueso;PSPV-PSOE(31 diputados);Valencia;XI
Rosa María Peris Cervera;PSPV-PSOE(31 diputados);Valencia;XI
Alicia Andújar Durá;PSPV-PSOE(31 diputados);Valencia;XI
Aitana Joana Mas Mas;Compromís(15 diputados);Alicante;XI
Gerard Fullana Martínez;Compromís(15 diputados);Alicante;XI
María José Calabuig Vanyó;Compromís(15 diputados);Alicante;XI
Juan Bordera Romá;Compromís(15 diputados);Alicante;XI
Vicent Marzà Ibáñez;Compromís(15 diputados);Castellón;XI
Verònica Ruiz Escrig;Compromís(15 diputados);Castellón;XI
Mònica Álvaro Cerezo;Compromís(15 diputados);Castellón;XI
Joan Baldoví Roda;Compromís(15 diputados);Valencia;XI
Maria Josep Amigó Laguarda;Compromís(15 diputados);Valencia;XI
Carles Esteve Aparicio;Compromís(15 diputados);Valencia;XI
Francesc Roig Oliver;Compromís(15 diputados);Valencia;XI
Paula Espinosa Giménez;Compromís(15 diputados);Valencia;XI
Nathalie Torres García;Compromís(15 diputados);Valencia;XI
Isaura Navarro Casillas;Compromís(15 diputados);Valencia;XI
Jesús Pla Herrero;Compromís(15 diputados);Valencia;XI
Ana Vega Campos;Vox(13 diputados);Alicante;XI
David García Gomis;Vox(13 diputados);Alicante;XI
Miguel Pascual Pérez;Vox(13 diputados);Alicante;XI
Julia María Llopis Noheda;Vox(13 diputados);Alicante;XI
María Teresa Ramírez Jurado;Vox(13 diputados);Alicante;XI
María de los Llanos Massó Linares;Vox(13 diputados);Castellón;XI
David Muñoz Pérez;Vox(13 diputados);Castellón;XI
Jesús Albiol Talaya;Vox(13 diputados);Castellón;XI
Carlos Flores Juberías;Vox(13 diputados);Valencia;XI
José María Llanos Pitarch;Vox(13 diputados);Valencia;XI
María de los Ángeles Criado Gonzálbez;Vox(13 diputados);Valencia;XI
José Luis Aguirre Larrauri;Vox(13 diputados);Valencia;XI
Miriam Turiel Mollá;Vox(13 diputados);Valencia;XI
